MFB50,IMEP,Pmax
11.25,8.719341278,42.622
6,8.715180397,49.721
17.5,8.567361832,35.32
7.25,8.690042496,46.015
5.75,9.008422852,50.527
18,8.667324066,35.455
5.5,9.065068245,50.041
6.75,8.914585114,48.895
21.25,8.490920067,31.182
8.25,9.024049759,46.857
9.5,8.773828506,44.44
19,8.44975853,32.625
9.25,8.877554893,45.36
6.75,8.855937004,48.626
16.25,8.443878174,35.821
12.75,8.91857338,41.699
7.5,8.984963417,47.78
17,8.761405945,36.07
8.25,8.877554893,46.091
6,9.049476624,49.816
22.5,8.367436409,29.681
8.5,8.678322792,44.539
8.5,8.767963409,45.574
16.5,8.732005119,37.089
10.25,8.43221283,41.93
5.25,8.914585114,49.259
18.25,8.485039711,34.107
8,8.983031273,46.034
9.5,8.644802094,43.193
17.5,8.655563354,36.975
11,8.895134926,43.771
5.25,8.902855873,49.911
22.75,8.073430061,28.142
9.5,8.766219139,45.094
6,8.914585114,47.973
17,8.620282173,35.492
4,8.824817657,50.156
5,8.891125679,50.527
20.5,8.343915939,31.567
6.75,8.971311569,48.643
12.5,8.562693596,40.161
18.25,8.543840408,34.3
7.5,8.842396736,47.089
9,8.84420681,44.172
15.75,8.779046059,37.09
7.25,8.742780685,47.339
8.25,8.867666245,45.919
17.5,8.455638885,35.802
9.75,8.947872162,43.598
8,8.762099266,46.668
18.75,8.637923241,34.781
6,8.889274597,47.587
6.5,8.873531342,48.951
17.5,8.596761703,34.223
10.5,8.936152458,44.308
5,8.938044548,51.044
16.75,8.726124763,36.57
8.5,8.789658546,46.475
11.25,8.932179451,43.866
17.5,8.720245361,35.704
6.75,8.760359764,47.971
10,8.750369072,43.617
14.75,8.961330414,40.535
4.75,8.754500389,50.925
8.75,8.773828506,43.751
24.25,8.073430061,28.41
5.5,8.971311569,49.678
8.25,8.744503975,45.765
24.75,8.326275826,28.527
6.5,8.947872162,49.889
7.5,8.72104454,45.421
21.75,8.461519241,31.182
12.5,8.824817657,40.395
5.75,8.949774742,48.721
20.5,8.379197121,32.009
7.25,8.754500389,47.357
5,8.973234177,49.873
22.25,8.255714417,29.681
7.75,8.883415222,46.669
5.5,8.756234169,48.453
20,8.502679825,33.223
8,8.953732491,47.263
7.5,8.84420681,46.783
21,8.549720764,32.489
5.75,8.988890648,50.311
8.25,8.83247757,47.456
29.75,7.814703941,23.369
5.75,8.953732491,49.333
8.5,8.685855865,45.036
18,8.655563354,34.607
11,8.900994301,43.579
6.75,8.762099266,46.995
23,8.279234886,29.277
7,8.953732491,48.872
6.25,8.990828514,49.739
15.75,8.526200294,35.78
8,8.813097954,46.072
9.5,8.803153038,44.804
15.5,8.655563354,38.284
4.5,8.678322792,48.452
7,9.026017189,47.07
20.75,8.461519241,31.625
7.25,9.164684296,49.791
7.25,8.996693611,48.222
16.75,8.726124763,35.704
6.75,8.953732491,46.781
7.75,8.955638885,47.474
15.5,8.808446884,37.879
10.25,8.889274597,43.137
9.25,8.891125679,44.902
18.5,8.608522415,35.03
8.5,8.824817657,45.478
5.75,8.908720016,49.067
19.25,8.590882301,34.087
5.75,9.024049759,50.867
11.5,8.592018127,41.467
18.75,8.596761703,34.588
10,8.965452194,44.057
9.5,8.896990776,44.211
18,8.767286301,36.032
4,8.842396736,51.461
7.75,8.932179451,46.917
17.25,8.66144371,36.397
5,8.789658546,49.391
9,8.861801147,44.442
17.5,8.602642059,35.493
5.25,8.736920357,50.004
11,8.803153038,43.616
23.25,8.132230759,29.911
5,8.994750977,50.483
11.75,8.50990963,41.523
19.75,8.467398643,32.682
8,8.479090691,44.711
8,8.627206802,44.692
18.5,8.561481476,34.454
10.25,8.859975815,44.02
6,8.72104454,47.934
19,8.596761703,33.241
11,8.795517921,42.389
8.5,8.738639832,44.902
19,8.437998772,33.915
7.25,8.942012787,48.026
9,8.779693604,45.191
22,8.408597946,30.584
6.5,8.91857338,48.259
5.25,8.668261528,49.279
21,8.42623806,31.739
8.25,8.590426445,44.462
6.5,8.850071907,47.474
18,8.53208065,35.434
5.25,8.86583519,49.046
9,8.820747375,44.671
16.5,8.808446884,36.744
5.75,8.906853676,48.086
9.25,8.914585114,44.287
20,8.602642059,33.26
8.5,8.936152458,46.206
5,9.020153046,51.87
18.5,8.585001945,34.126
9.75,8.85411644,44.135
4,8.990828514,51.506
18.5,8.70848465,35.531
11.25,8.654883385,40.914
6.5,8.809018135,48.664
15.25,8.926050186,39.15
5.5,9.024049759,50.617
8,9.072936058,48.414
17.5,8.608522415,36.108
12,8.625584602,41.048
9.25,8.97909832,46.418
22.75,8.385077477,30.124
4.5,8.889274597,50.846
10,8.83247757,43.059
20.5,8.549720764,32.933
7,8.842396736,47.798
6.5,8.97909832,48.586
18.5,8.720245361,34.203
9.25,8.772079468,43.387
8.75,8.861801147,44.96
20,8.332156181,33.069
4.5,8.947872162,51.442
8,8.914585114,46.476
16.75,8.596761703,36.301
5.5,8.813097954,48.891
8.75,8.715180397,44.499
14.25,8.779046059,39.091
12,8.602146149,40.013
6.75,8.814882278,47.204
23.25,8.085189819,28.891
8.5,8.912714005,45.553
7.75,8.932179451,47.148
21.5,8.42623806,32.972
7.5,8.877554893,47.013
5.5,8.838341713,50.392
18.25,8.649682999,35.223
8.75,8.766219139,45.803
12.75,8.679990768,40.564
23.25,8.308635712,29.007
6.75,8.813097954,47.703
10,8.885260582,43.193
20.75,8.485039711,32.125
8.5,8.760359764,44.748
3,8.943909645,52.965
18.75,8.608522415,34.589
6,8.813097954,49.198
6.25,8.984963417,50.008
19.5,8.520319939,32.549
6.75,8.754500389,47.472
7.5,9.008422852,47.742
21,8.55560112,33.068
7,8.701762199,46.417
6,8.885260582,49.01
17,8.726124763,36.282
7.25,8.947872162,47.933
10,8.896990776,43.386
17.75,8.655563354,36.591
7.5,8.889274597,47.913
8.25,8.421936989,44.44
16,8.81432724,37.282
5.5,8.994750977,50.599
5.5,9.031882286,49.508
16.5,8.726124763,37.34
6,8.818957329,48.374
9.25,8.744503975,44.327
24,8.185152054,28.526
8,9.059207916,47.683
3,9.10226059,53.866
20,8.526200294,33.761
10,8.830677032,42.772
8.75,8.850071907,46.092
18.75,8.590882301,33.896
8.25,8.725200653,45.265
9.25,8.545099258,44.383
19,8.590882301,34.973
8,8.824817657,45.536
6.5,8.809018135,47.84
18.75,8.537961006,34.472
5.75,8.848256111,48.949
5.25,9.049476624,50.391
19.25,8.667324066,33.607
9.25,8.859975815,43.004
5.75,8.597883224,49.047
19.5,8.496799469,32.799
5.75,8.912714005,48.663
8.75,8.932179451,45.574
19,8.443878174,32.797
5.25,8.848256111,49.141
11.5,8.785558701,42.694
19.25,8.42623806,34.049
7.25,8.813097954,46.781
7.5,8.785558701,46.725
21,8.437998772,31.664
7.5,8.789658546,46.494
8.25,8.732774734,44.518
24,8.214552879,28.066
8,8.936152458,46.322
5.5,8.855937004,50.467
18.5,8.679083824,34.993
12,8.936152458,40.894
5.25,8.984963417,50.469
15.25,8.861368179,38.726
5.75,8.947872162,49.774
9,8.867666245,45.515
15.75,8.767286301,37.186
10,9.076786995,45.937
9.75,8.58615303,43.154
15,8.784926414,39.687
9.75,8.912714005,44.885
5,9.008422852,51.216
16.75,8.784926414,35.878
7.25,8.912714005,46.667
7.25,8.809018135,47.224
17,8.432118416,35.32
10.5,8.713481903,42.371
7,8.896990776,47.916
18.5,8.614402771,34.493
9,8.859975815,44
4.75,8.867666245,50.718
16.5,8.714365005,35.917
8.75,8.830677032,45.63
7,8.908720016,49.336
16.5,8.755525589,36.647
6.75,8.777938843,46.09
7.5,8.633071899,45.534
25.5,8.096950531,26.851
6.75,8.766219139,46.475
7,8.855937004,47.781
26.25,8.020508766,25.755
6.75,8.807237625,47.453
11.75,8.838341713,42.483
18,8.573241234,34.433
8.75,8.707621574,44.883
12.5,8.633071899,39.008
23.75,8.202793121,28.796
9.5,8.701762199,44.652
9.25,8.803153038,44.345
21.5,8.385077477,31.625
11,8.818957329,41.316
3.25,8.96736908,52.714
17.5,8.543840408,34.878
6.5,8.608005524,47.663
9,8.896990776,44.287
18.5,8.608522415,34.204
8.25,8.766219139,45.381
7,8.961503983,48.684
17.25,8.620282173,35.3
6,8.684183121,48.623
6.75,8.820747375,47.318
20.5,8.490920067,33.299
6.5,8.930293083,47.338
8,8.908720016,46.073
22.75,8.232193947,28.968
4.75,9.006469727,50.597
8,8.820747375,45.17
18.25,8.673203468,34.126
7.75,8.85411644,45.058
6.5,8.949774742,46.975
14,8.679083824,39.515
13.5,8.807237625,39.572
5.25,8.914585114,49.393
22,8.338035583,30.47
6.5,8.924433708,47.893
7.25,8.949774742,48.644
18,8.608522415,34.049
9.75,8.877554893,43.08
6.75,8.908720016,47.32
18,8.614402771,36.397
9.75,8.613865852,42.794
13.25,8.767963409,38.587
18.25,8.549720764,33.818
6.75,8.883415222,48.297
8.25,8.873531342,46.975
16,8.831967354,38.438
5.75,8.85411644,49.008
10.75,8.896990776,43.194
24.5,8.091070175,27.603
5.75,8.953732491,49.37
9.25,8.820747375,44.421
22.75,8.14399147,30.202
9,8.877554893,43.387
9.25,8.679990768,44.806
21.5,8.40271759,30.702
5.5,8.74864006,48.641
7.75,8.7093153,46.822
17.75,8.714365005,36.455
7.5,8.772079468,45.515
7.5,8.932179451,47.032
18.5,8.632042885,33.914
7.25,8.895134926,47.952
5.25,8.97909832,49.201
